label,pattern,attr,replace,category,hyphenate,pos
shape,tragacanthoid,lower,,,,ADJ
shape,trapezoid,lower,,,,ADJ
shape,triangular,lower,,,,ADJ
shape,triangulate,lower,,,,ADJ
shape,trullate,lower,,,,ADJ
shape,truncate,lower,,,,ADJ
shape,tubular,lower,,,,ADJ
shape,turbinate,lower,,,,ADJ
shape,twisted,lower,,,,ADJ
shape,unifoliate,lower,,,,ADJ
shape,urceolate,lower,,,,ADJ
shape,urn-shaped,lower,,,,ADJ
shape,vaginate,lower,,,,ADJ
shape,zygomorphic,lower,bilaterally symmetric,,,ADJ
shape,zygomorphous,lower,bilaterally symmetric,,,ADJ
shape_leader,annulate,lower,,,,ADJ
shape_leader,auricular,lower,,,,ADJ
shape_leader,bilaterally,lower,,,,ADJ
shape_leader,broadly,lower,,,,ADJ
shape_leader,deeply,lower,,,,ADJ
shape_leader,depressed,lower,,,,ADJ
shape_leader,elongate,lower,,,,ADJ
shape_leader,inflated,lower,,,,ADJ
shape_leader,irregularly,lower,,,,ADJ
shape_leader,long-,lower,,,,ADJ
shape_leader,mostly,lower,,,,ADJ
shape_leader,narrowly,lower,,,,ADJ
shape_leader,nearly,lower,,,,ADJ
shape_leader,palmately,lower,palmate,,,ADJ
shape_leader,partly,lower,,,,ADJ
shape_leader,pedately,lower,pedate,,,ADJ
shape_leader,pinnately,lower,pinnate,,,ADJ
shape_leader,radially,lower,,,,ADJ
shape_leader,semi,lower,,,,ADJ
shape_leader,shallowly,lower,,,,ADJ
shape_leader,sometimes,lower,,,,ADJ
shape_leader,sub,lower,,,,ADJ
shape_suffix,-angular,lower,,,,ADJ
shape_suffix,-angulate,lower,,,,ADJ
subpart,aculei,lower,aculeus,,,NOUN
subpart,aculeus,lower,aculeus,,,NOUN
subpart,apex,lower,apex,,,NOUN
subpart,apiculi,lower,apiculus,,,NOUN
subpart,apiculus,lower,apiculus,,,NOUN
subpart,appendix,lower,appendix,,,NOUN
subpart,article,lower,article,,,NOUN
subpart,articles,lower,article,,,NOUN
subpart,base,lower,base,,,NOUN
subpart,bases,lower,base,,,NOUN
subpart,beak,lower,beak,,,NOUN
subpart,beaks,lower,beak,,,NOUN
subpart,flesh,lower,flesh,,,NOUN
subpart,gland,lower,gland,,,NOUN
subpart,glands,lower,gland,,,NOUN
subpart,hair,lower,hair,,,NOUN
subpart,hairs,lower,hair,,,NOUN
subpart,hilum,lower,hilum,,,NOUN
subpart,keel,lower,keel,,,NOUN
subpart,keels,lower,keel,,,NOUN
subpart,limb,lower,limb,,,NOUN
subpart,limbs,lower,limb,,,NOUN
subpart,lobe,lower,lobe,,,NOUN
subpart,lobes,lower,lobe,,,NOUN
subpart,margin,lower,margin,,,NOUN
